initial_resistant_fraction,emdr,starting_volume_mm3,window_percent,relapse_day,horizon_days
0.01,False,1700.0,5,33,2000
0.01,False,1700.0,6,33,2000
0.01,False,1700.0,7,33,2000
0.01,False,1700.0,8,33,2000
0.01,False,1700.0,9,33,2000
0.01,False,1700.0,10,33,2000
0.01,False,1700.0,11,33,2000
0.01,False,1700.0,12,33,2000
0.01,False,1700.0,13,33,2000
0.01,False,1700.0,14,33,2000
0.01,False,1700.0,15,33,2000
0.01,False,1700.0,16,33,2000
0.01,False,1700.0,17,7,2000
0.01,False,1700.0,18,7,2000
0.01,False,1700.0,19,7,2000
0.01,False,1700.0,20,7,2000
0.01,False,1900.0,1,48,2000
0.01,False,1900.0,2,44,2000
0.01,False,1900.0,3,42,2000
0.01,False,1900.0,4,36,2000
0.01,False,1900.0,5,36,2000
0.01,False,1900.0,6,36,2000
0.01,False,1900.0,7,34,2000
0.01,False,1900.0,8,36,2000
0.01,False,1900.0,9,35,2000
0.01,False,1900.0,10,35,2000
0.01,False,1900.0,11,35,2000
0.01,False,1900.0,12,35,2000
0.01,False,1900.0,13,35,2000
0.01,False,1900.0,14,35,2000
0.01,False,1900.0,15,7,2000
0.01,False,1900.0,16,7,2000
0.01,False,1900.0,17,7,2000
0.01,False,1900.0,18,7,2000
0.01,False,1900.0,19,7,2000
0.01,False,1900.0,20,7,2000
0.01,False,2100.0,1,67,2000
0.01,False,2100.0,2,53,2000
0.01,False,2100.0,3,47,2000
0.01,False,2100.0,4,42,2000
0.01,False,2100.0,5,37,2000
0.01,False,2100.0,6,36,2000
0.01,False,2100.0,7,36,2000
0.01,False,2100.0,8,39,2000
0.01,False,2100.0,9,37,2000
0.01,False,2100.0,10,37,2000
0.01,False,2100.0,11,37,2000
0.01,False,2100.0,12,37,2000
0.01,False,2100.0,13,36,2000
0.01,False,2100.0,14,36,2000
0.01,False,2100.0,15,36,2000
0.01,False,2100.0,16,36,2000
0.01,False,2100.0,17,36,2000
0.01,False,2100.0,18,36,2000
0.01,False,2100.0,19,36,2000
0.01,False,2100.0,20,8,2000
0.01,False,2300.0,1,160,2000
0.01,False,2300.0,2,134,2000
0.01,False,2300.0,3,108,2000
0.01,False,2300.0,4,42,2000
0.01,False,2300.0,5,41,2000
0.01,False,2300.0,6,39,2000
0.01,False,2300.0,7,39,2000
0.01,False,2300.0,8,38,2000
0.01,False,2300.0,9,38,2000
0.01,False,2300.0,10,41,2000
0.01,False,2300.0,11,38,2000
0.01,False,2300.0,12,38,2000
0.01,False,2300.0,13,38,2000
0.01,False,2300.0,14,38,2000
0.01,False,2300.0,15,38,2000
0.01,False,2300.0,16,38,2000
0.01,False,2300.0,17,8,2000
0.01,False,2300.0,18,8,2000
0.01,False,2300.0,19,8,2000
0.01,False,2300.0,20,8,2000
0.01,False,2500.0,1,338,2000
0.01,False,2500.0,2,396,2000
0.01,False,2500.0,3,61,2000
0.01,False,2500.0,4,51,2000
0.01,False,2500.0,5,41,2000
0.01,False,2500.0,6,41,2000
